timestamp_iso,benchmark_label,input_lfr_rel,lfr_file_stem,success,overall_score,sec_compile_lfr_s,sec_flatten_variant_outputs_s,sec_lfr_to_mint_cumulative_s,sec_lfr_to_unplaced_json_cumulative_s,sec_unplaced_json_to_pr_s,sec_wall_total_s,pr_json_path
2026-05-06T20:00:14+00:00,GraphCoverage/tree_bus.lfr,GraphCoverage/tree_bus.lfr,tree_bus,1,0.700094,0.171913,0.001367,0.173280,0.173301,0.000669,0.173970,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/tree_bus/tree_bus_fromLFR_PR.json
2026-05-06T20:00:15+00:00,GraphCoverage/tree_fanin.lfr,GraphCoverage/tree_fanin.lfr,tree_fanin,1,0.700054,0.206899,0.001403,0.208302,0.208326,0.001774,0.210100,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/tree_fanin/tree_fanin_fromLFR_PR.json
2026-05-06T20:00:16+00:00,GraphCoverage/tree_fanout.lfr,GraphCoverage/tree_fanout.lfr,tree_fanout,1,0.700054,0.210153,0.001452,0.211605,0.211634,0.001897,0.213530,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/tree_fanout/tree_fanout_fromLFR_PR.json
2026-05-06T20:00:17+00:00,LiteratureBenchmarks/device1_scRNA_seq.lfr,LiteratureBenchmarks/device1_scRNA_seq.lfr,device1_scRNA_seq,1,0.682515,0.257291,0.001373,0.258664,0.258686,0.001803,0.260489,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device1_scRNA_seq/device1_scRNA_seq_fromLFR_PR.json
2026-05-06T20:00:18+00:00,LiteratureBenchmarks/device2_artificial_cells.lfr,LiteratureBenchmarks/device2_artificial_cells.lfr,device2_artificial_cells,1,0.647976,0.318933,0.001411,0.320343,0.320365,0.002203,0.322569,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device2_artificial_cells/device2_artificial_cells_fromLFR_PR.json
2026-05-06T20:00:19+00:00,LiteratureBenchmarks/device4_molecular_diagnostics.lfr,LiteratureBenchmarks/device4_molecular_diagnostics.lfr,device4_molecular_diagnostics,1,0.688424,0.238038,0.001427,0.239465,0.239487,0.001951,0.241438,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device4_molecular_diagnostics/device4_molecular_diagnostics_fromLFR_PR.json
2026-05-06T20:00:20+00:00,LiteratureBenchmarks/device5_bacteria_diagnostics.lfr,LiteratureBenchmarks/device5_bacteria_diagnostics.lfr,device5_bacteria_diagnostics,1,0.683278,0.221249,0.001545,0.222794,0.222822,0.001950,0.224772,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device5_bacteria_diagnostics/device5_bacteria_diagnostics_fromLFR_PR.json
2026-05-06T20:00:22+00:00,LiteratureBenchmarks/device6_organic_chemical_synthesis.lfr,LiteratureBenchmarks/device6_organic_chemical_synthesis.lfr,device6_organic_chemical_synthesis,1,0.694493,0.493089,0.001474,0.494562,0.494593,0.006633,0.501226,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device6_organic_chemical_synthesis/device6_organic_chemical_synthesis_fromLFR_PR.json
2026-05-06T20:00:23+00:00,LiteratureBenchmarks/device7_enzyme_screening.lfr,LiteratureBenchmarks/device7_enzyme_screening.lfr,device7_enzyme_screening,1,0.684320,0.311663,0.001704,0.313367,0.313392,0.002018,0.315410,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/LiteratureBenchmarks/device7_enzyme_screening/device7_enzyme_screening_fromLFR_PR.json
2026-05-06T20:00:24+00:00,ParserTest/declarations.lfr,ParserTest/declarations.lfr,declarations,1,0.400094,0.190512,0.001381,0.191894,0.191914,0.000538,0.192452,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/ParserTest/declarations/declarations_fromLFR_PR.json
2026-05-06T20:00:25+00:00,ParserTest/pumpstat.lfr,ParserTest/pumpstat.lfr,pumpstat,1,0.700094,0.165722,0.004845,0.170566,0.170596,0.001125,0.171721,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/ParserTest/pumpstat/pumpstat_fromLFR_PR.json
2026-05-06T20:00:26+00:00,Protocols/MARS/cell_lysis.lfr,Protocols/MARS/cell_lysis.lfr,cell_lysis,1,0.687790,0.253734,0.001415,0.255149,0.255170,0.001823,0.256993,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Protocols/MARS/cell_lysis/cell_lysis_fromLFR_PR.json
2026-05-06T20:00:27+00:00,Protocols/MARS/cell_sorting.lfr,Protocols/MARS/cell_sorting.lfr,cell_sorting,1,0.700079,0.177291,0.001603,0.178894,0.178920,0.001466,0.180386,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Protocols/MARS/cell_sorting/cell_sorting_fromLFR_PR.json
2026-05-06T20:00:28+00:00,Protocols/MARS/dna_digest.lfr,Protocols/MARS/dna_digest.lfr,dna_digest,1,0.689313,0.296001,0.001639,0.297639,0.297666,0.003051,0.300717,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Protocols/MARS/dna_digest/dna_digest_fromLFR_PR.json
2026-05-06T20:00:29+00:00,Protocols/MARS/fluorescence.lfr,Protocols/MARS/fluorescence.lfr,fluorescence,1,0.689394,0.275507,0.001486,0.276993,0.277021,0.002160,0.279181,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Protocols/MARS/fluorescence/fluorescence_fromLFR_PR.json
